# In the Columbia Basin every agency and group has a slightly different naming convention,,,,,,,,,,,,,,,,,,
# This file is THE definitive source to lookup naming conventions,,,,,,,,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,,,,,,,,
OrderID,Modified_Flow_Code,CBT_Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name,,ResvOrderID,Modified Flow Code,CBT Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name
105,,HOPW,Palouse R near Hooper,,,HOPW1,13351000,Palouse River at Hooper WA,,,,,,,,,,
106,,TCHW,Walla Walla R near Touchet,,,TCHW1,14018500,Walla Walla River near Touchet WA,,,,,,,,,,
107,,UMAO,Umatilla River near Umatilla,,Columbia+Umatilla,UMAO3,14033500,Umatilla River near Umatilla OR                    ,,,,,,,,,,
108,,SERO,Serive Creek,,,SERO3,14046500,John Day River at Service Creek OR,,,,,,,,,,
109,,WIMO,Morgan Street,,Columbia nr Willow Ck,WILO3,14034608,Willow Creek at Morgan Street at Heppner OR        ,,,,,,,,,,
110,,PERO,Deschutes River,,,PERO3,14092500,"Deschutes River near Madras, OR",,,,,,,,,,
111,,MODO,Deschutes River at Moody,,Columbia+Deschutes,MODO3,14103000,Deschutes River at Moody near Biggs OR            ,,,,,,,,,,
112,TDA,TDA,The Dalles Dam & Lake Celilo,,The Dalles,TDAO3,14105700,Columbia River at The Dalles OR                    ,,,,,,,,,,
113,,PITW,Klickitat River near Pitt,,Columbia+Klickitat,PITW1,14113000,Klickitat River near Pitt WA                       ,,,,,,,,,,
114,,MSRO,Mosier Crk Nr Mosier,,Columbia+Mosier Ck,MSRO3,14113200,Mosier Creek Near Mosier OR                     ,,,,,,,,,,
