"# In the Columbia Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
"#For natural lakes (e.g. Arrow), put the lake elevation gage in the ""CBT_Code_Lake"" field, e.g. QBYB",,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,
ORDER_ID,POINT_TYPE,MODIFIED_FLOW_CODE,CBT_CODE,CBT_NAME,CBT_CODE_LAKE,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,HYDSIM_PROJECT_CODE,NOTES
158,Junction,,SERO,Serive Creek,,,SERO3,14046500,John Day River at Service Creek OR,,
159,Junction,,WIMO,Morgan Street,,Columbia nr Willow Ck,WILO3,14034608,Willow Creek at Morgan Street at Heppner OR        ,,
160,Reservoir,JDA,JDA,John Day Dam,,John Day,JDAO3,,,440,
161,Reservoir,ROU,ROU,,,Round Butte,,,,390,
162,Reservoir,PEL,PEL,,,Pelton,,,,388,
163,Reservoir,RER,RER,,,Pelton ReReg,,,,387,
164,Junction,,PERO,Deschutes River,,,PERO3,14092500,Deschutes River near Madras OR,,
165,Junction,,MODO,Deschutes River at Moody,,Columbia+Deschutes,MODO3,14103000,Deschutes River at Moody near Biggs OR            ,,
166,Reservoir,TDA,TDA,The Dalles Dam & Lake Celilo,,The Dalles,TDAO3,,,365,
167,Junction,TDA,TDA,The Dalles Dam & Lake Celilo,,The Dalles,TDAO3,14105700,Columbia River at The Dalles OR                    ,,
168,Junction,,PITW,Klickitat River near Pitt,,Columbia+Klickitat,PITW1,14113000,Klickitat River near Pitt WA                       ,,
169,Junction,,MSRO,Mosier Crk Nr Mosier,,Columbia+Mosier Ck,MSRO3,14113200,Mosier Creek Near Mosier OR                     ,,
170,Junction,,HODO,Hood River at Tucker Bridge,,Columbia+Hood+Salmon,HODO3,14120000,Hood River at Tucker Bridge near Hood River OR    ,,
171,Junction,,HOCO,Columbia R @ Hood R OR,,Columbia+Hood+Salmon,,14113290,Columbia River at Hood River OR                    ,,
172,Junction,,UNDW,White Salmon River,,Columbia+Hood+Salmon,UNDW1,14123500,White Salmon River near Underwood WA               ,,
173,Reservoir,BON,BON,Bonneville Dam & Lake,,Bonneville,BONO3,,,320,
174,Reservoir,HCR,HCR,Hills Creek Dam,,Hills Creek,HCRO3,,,,
175,Reservoir,LOP,LOP,Lookout Point Dam,,Lookout Point,LOPO3,,,,
176,Reservoir,DEX,DEX,Dexter Dam,,Dexter,,,,,
177,Reservoir,FAL,FAL,Fall Creek Dam,,Fall Creek,FALO3,,,,
178,Reservoir,DOR,DOR,Dorena Dam,,Dorena,DORO3,,,,
179,Reservoir,COT,COT,Cottage Grove Dam,,Cottage Grove,COTO3,,,,
180,Reservoir,CGR,CGR,Cougar Dam,,Cougar,CGRO3,,,,
181,Reservoir,BLU,BLU,Blue River Dam,,Blue River,BLUO3,,,,
182,Reservoir,FRN,FRN,Fern Ridge Dam,,Fern Ridge,FRNO3,,,,
183,Reservoir,GPR,GPR,Green Peter Reservoir,,Green Peter,GPRO3,,,,
184,Reservoir,FOS,FOS,Foster Reservoir,,Foster,FOSO3,,,,
185,Reservoir,DET,DET,Detroit Dam,,Detroit,DETO3,,,,
186,Reservoir,BCL,BCL,Big Cliff Dam,,Big Cliff,,,,,
187,Junction,SLM,SLMO,Salem,,Willamette_at Salem,SLMO3,14191000,Willamette River at Salem OR,,
188,Junction,,AURO,Pudding River at Aurora,,Wilamette+Molalla,AURO3,14202000,PUDDING RIVER AT AURORA OR ,,
189,Reservoir,,SCO,Scoggins Dam,,Scoggins,SCDO3,,,,
190,Reservoir,SVN,ORC,Willamette River above Falls,,Willamette_abv Falls at Oregon City,ORCO3,14207740,Willamette River above Falls at Oregon City OR    ,,
191,Junction,,ORCO,Willamette River below Falls at Oregon City,,,OCUO3,14207770,Willamette River below Falls at Oregon City OR    ,,
